Series_Title,Released_Year,Runtime,Genre,IMDB_Rating,Director,Star1,No_of_Votes,Gross,Metascore
Brazil,1985,132,Drama,7.9,Terry Gilliam,Jonathan Pryce,187567,9929135.0,84.0
This Is Spinal Tap,1984,82,Comedy,7.9,Rob Reiner,Rob Reiner,128812,188751.0,92.0
A Christmas Story,1983,93,Comedy,7.9,Bob Clark,Peter Billingsley,132947,20605209.0,77.0
The Blues Brothers,1980,133,Action,7.9,John Landis,John Belushi,183182,57229890.0,60.0
Manhattan,1979,96,Comedy,7.9,Woody Allen,Woody Allen,131436,45700000.0,83.0
All That Jazz,1979,123,Drama,7.9,Bob Fosse,Roy Scheider,28223,37823676.0,72.0
Dawn of the Dead,1978,127,Action,7.9,George A. Romero,David Emge,111512,5100000.0,71.0
All the President's Men,1976,138,Biography,7.9,Alan J. Pakula,Dustin Hoffman,103031,70600000.0,84.0
La montaña sagrada,1973,114,Adventure,7.9,Alejandro Jodorowsky,Alejandro Jodorowsky,37183,61001.0,76.0
Amarcord,1973,123,Comedy,7.9,Federico Fellini,Magali Noël,39897,882861253.0,
Le charme discret de la bourgeoisie,1972,102,Comedy,7.9,Luis Buñuel,Fernando Rey,38737,198809.0,93.0
"Aguirre, der Zorn Gottes",1972,95,Action,7.9,Werner Herzog,Klaus Kinski,52397,508046921.0,
Harold and Maude,1971,91,Comedy,7.9,Hal Ashby,Ruth Gordon,70826,804935438.0,62.0
Patton,1970,172,Biography,7.9,Franklin J. Schaffner,George C. Scott,93741,61700000.0,91.0
The Wild Bunch,1969,145,Action,7.9,Sam Peckinpah,William Holden,77401,12064472.0,97.0
Night of the Living Dead,1968,96,Horror,7.9,George A. Romero,Duane Jones,116557,89029.0,89.0
The Lion in Winter,1968,134,Biography,7.9,Anthony Harvey,Peter O'Toole,29003,22276975.0,
In the Heat of the Night,1967,110,Crime,7.9,Norman Jewison,Sidney Poitier,67804,24379978.0,75.0
Charade,1963,113,Comedy,7.9,Stanley Donen,Cary Grant,68689,13474588.0,83.0
The Manchurian Candidate,1962,126,Drama,7.9,John Frankenheimer,Frank Sinatra,71122,238786038.0,94.0
Spartacus,1960,197,Adventure,7.9,Stanley Kubrick,Kirk Douglas,124339,30000000.0,87.0
L'avventura,1960,144,Drama,7.9,Michelangelo Antonioni,Gabriele Ferzetti,26542,872858832.0,
Hiroshima mon amour,1959,90,Drama,7.9,Alain Resnais,Emmanuelle Riva,28421,88300.0,
The Ten Commandments,1956,220,Adventure,7.9,Cecil B. DeMille,Charlton Heston,63560,93740000.0,
The Searchers,1956,119,Adventure,7.9,John Ford,John Wayne,80316,538886182.0,94.0
East of Eden,1955,118,Drama,7.9,Elia Kazan,James Dean,40313,473570909.0,72.0
High Noon,1952,85,Drama,7.9,Fred Zinnemann,Gary Cooper,97222,9450000.0,89.0
Strangers on a Train,1951,101,Crime,7.9,Alfred Hitchcock,Farley Granger,123341,7630000.0,88.0
Harvey,1950,104,Comedy,7.9,Henry Koster,James Stewart,52573,886752933.0,
Miracle on 34th Street,1947,96,Comedy,7.9,George Seaton,Edmund Gwenn,41625,2650000.0,88.0
Notorious,1946,102,Drama,7.9,Alfred Hitchcock,Cary Grant,92306,10464000.0,100.0
The Big Sleep,1946,114,Crime,7.9,Howard Hawks,Humphrey Bogart,78796,6540000.0,
The Lost Weekend,1945,101,Drama,7.9,Billy Wilder,Ray Milland,33549,9460000.0,
The Philadelphia Story,1940,112,Comedy,7.9,George Cukor,Cary Grant,63550,463399372.0,96.0
His Girl Friday,1940,92,Comedy,7.9,Howard Hawks,Cary Grant,53667,296000.0,
The Adventures of Robin Hood,1938,102,Action,7.9,Michael Curtiz,William Keighley,47175,3981000.0,97.0
A Night at the Opera,1935,96,Comedy,7.9,Sam Wood,Edmund Goulding,30580,2537520.0,
King Kong,1933,100,Adventure,7.9,Merian C. Cooper,Ernest B. Schoedsack,78991,10000000.0,90.0
Freaks,1932,64,Drama,7.9,Tod Browning,Wallace Ford,42117,355665088.0,80.0
Nosferatu,1922,94,Fantasy,7.9,F.W. Murnau,Max Schreck,88794,445151978.0,
The Gentlemen,2019,113,Action,7.8,Guy Ritchie,Matthew McConaughey,237392,179413519.0,51.0
Raazi,2018,138,Action,7.8,Meghna Gulzar,Alia Bhatt,25344,896910257.0,
Sound of Metal,2019,120,Drama,7.8,Darius Marder,Riz Ahmed,27187,196719735.0,81.0
Forushande,2016,124,Drama,7.8,Asghar Farhadi,Shahab Hosseini,51240,2402067.0,85.0
Dunkirk,2017,106,Action,7.8,Christopher Nolan,Fionn Whitehead,555092,188373161.0,94.0
Perfetti sconosciuti,2016,96,Comedy,7.8,Paolo Genovese,Giuseppe Battiston,57168,729888765.0,
Hidden Figures,2016,127,Biography,7.8,Theodore Melfi,Taraji P. Henson,200876,169607287.0,74.0
Paddington 2,2017,103,Adventure,7.8,Paul King,Ben Whishaw,61594,40442052.0,88.0
Udta Punjab,2016,148,Action,7.8,Abhishek Chaubey,Shahid Kapoor,27175,218428303.0,
Kubo and the Two Strings,2016,101,Animation,7.8,Travis Knight,Charlize Theron,118035,48023088.0,84.0
M.S. Dhoni: The Untold Story,2016,184,Biography,7.8,Neeraj Pandey,Sushant Singh Rajput,40416,1782795.0,
Manchester by the Sea,2016,137,Drama,7.8,Kenneth Lonergan,Casey Affleck,246963,47695120.0,96.0
Under sandet,2015,100,Drama,7.8,Martin Zandvliet,Roland Møller,35539,435266.0,75.0
Rogue One,2016,133,Action,7.8,Gareth Edwards,Felicity Jones,556608,532177324.0,65.0
Captain America: Civil War,2016,147,Action,7.8,Anthony Russo,Joe Russo,663649,408084349.0,75.0
The Hateful Eight,2015,168,Crime,7.8,Quentin Tarantino,Samuel L. Jackson,517059,54117416.0,68.0
Little Women,2019,135,Drama,7.8,Greta Gerwig,Saoirse Ronan,143250,108101214.0,91.0
Loving Vincent,2017,94,Animation,7.8,Dorota Kobiela,Hugh Welchman,50778,6735118.0,62.0
Pride,2014,119,Biography,7.8,Matthew Warchus,Bill Nighy,51841,574305769.0,79.0
Le passé,2013,130,Drama,7.8,Asghar Farhadi,Bérénice Bejo,45002,1330596.0,85.0
La grande bellezza,2013,141,Drama,7.8,Paolo Sorrentino,Toni Servillo,81125,2852400.0,86.0
The Lunchbox,2013,104,Drama,7.8,Ritesh Batra,Irrfan Khan,50523,4231500.0,76.0
Vicky Donor,2012,126,Comedy,7.8,Shoojit Sircar,Ayushmann Khurrana,39710,169209.0,
Big Hero 6,2014,102,Animation,7.8,Don Hall,Chris Williams,410983,222527828.0,74.0
About Time,2013,123,Comedy,7.8,Richard Curtis,Domhnall Gleeson,303032,15322921.0,55.0
English Vinglish,2012,134,Comedy,7.8,Gauri Shinde,Sridevi,33618,1670773.0,
Kaze tachinu,2013,126,Animation,7.8,Hayao Miyazaki,Hideaki Anno,73690,5209580.0,83.0
Toy Story 4,2019,100,Animation,7.8,Josh Cooley,Tom Hanks,203177,434038008.0,84.0
La migliore offerta,2013,131,Crime,7.8,Giuseppe Tornatore,Geoffrey Rush,108399,85433.0,49.0
Moonrise Kingdom,2012,94,Comedy,7.8,Wes Anderson,Jared Gilman,318789,45512466.0,84.0
How to Train Your Dragon 2,2014,102,Animation,7.8,Dean DeBlois,Jay Baruchel,305611,177002924.0,76.0
The Big Short,2015,130,Biography,7.8,Adam McKay,Christian Bale,362942,70259870.0,81.0
Kokuhaku,2010,106,Drama,7.8,Tetsuya Nakashima,Takako Matsu,35713,18500194.0,
Ang-ma-reul bo-at-da,2010,144,Action,7.8,Jee-woon Kim,Lee Byung-Hun,111252,128392.0,67.0
The Girl with the Dragon Tattoo,2011,158,Crime,7.8,David Fincher,Daniel Craig,423010,102515793.0,71.0
Captain Phillips,2013,134,Adventure,7.8,Paul Greengrass,Tom Hanks,421244,107100855.0,82.0
Ajeossi,2010,119,Action,7.8,Jeong-beom Lee,Won Bin,62848,6460.0,
Straight Outta Compton,2015,147,Biography,7.8,F. Gary Gray,O'Shea Jackson Jr.,179264,161197785.0,72.0
Madeo,2009,129,Crime,7.8,Bong Joon Ho,Hye-ja Kim,52758,547292.0,79.0
Chugyeokja,2008,125,Action,7.8,Hong-jin Na,Kim Yoon-seok,58468,369366051.0,64.0
The Hobbit: The Desolation of Smaug,2013,161,Adventure,7.8,Peter Jackson,Ian McKellen,601408,258366855.0,66.0
Das weiße Band - Eine deutsche Kindergeschichte,2009,144,Drama,7.8,Michael Haneke,Christian Friedel,68715,2222647.0,82.0
Män som hatar kvinnor,2009,152,Crime,7.8,Niels Arden Oplev,Michael Nyqvist,208994,10095170.0,76.0
The Trial of the Chicago 7,2020,129,Drama,7.8,Aaron Sorkin,Eddie Redmayne,89896,853090410.0,77.0
Druk,2020,117,Comedy,7.8,Thomas Vinterberg,Mads Mikkelsen,33931,349916480.0,81.0
The Fighter,2010,116,Biography,7.8,David O. Russell,Mark Wahlberg,340584,93617009.0,79.0
Taken,2008,90,Action,7.8,Pierre Morel,Liam Neeson,564791,145000989.0,51.0
The Boy in the Striped Pyjamas,2008,94,Drama,7.8,Mark Herman,Asa Butterfield,190748,9030581.0,55.0
Once,2007,86,Drama,7.8,John Carney,Glen Hansard,110656,9439923.0,88.0
The Hobbit: An Unexpected Journey,2012,169,Adventure,7.8,Peter Jackson,Martin Freeman,757377,303003568.0,58.0
Auf der anderen Seite,2007,122,Drama,7.8,Fatih Akin,Baki Davrak,30827,741283.0,85.0
Atonement,2007,123,Drama,7.8,Joe Wright,Keira Knightley,251370,50927067.0,85.0
Drive,2011,100,Crime,7.8,Nicolas Winding Refn,Ryan Gosling,571571,35061555.0,78.0
American Gangster,2007,157,Biography,7.8,Ridley Scott,Denzel Washington,392449,130164645.0,76.0
Avatar,2009,162,Action,7.8,James Cameron,Sam Worthington,1118998,760507625.0,83.0
Mr. Nobody,2009,141,Drama,7.8,Jaco Van Dormael,Jared Leto,216421,3600.0,63.0
Apocalypto,2006,139,Action,7.8,Mel Gibson,Gerardo Taracena,291018,50866635.0,68.0
Little Miss Sunshine,2006,101,Comedy,7.8,Jonathan Dayton,Valerie Faris,439856,59891098.0,80.0
Hot Fuzz,2007,121,Action,7.8,Edgar Wright,Simon Pegg,463466,23637265.0,81.0
The Curious Case of Benjamin Button,2008,166,Drama,7.8,David Fincher,Brad Pitt,589160,127509326.0,70.0
Veer-Zaara,2004,192,Drama,7.8,Yash Chopra,Shah Rukh Khan,49050,2921738.0,67.0
Adams æbler,2005,94,Comedy,7.8,Anders Thomas Jensen,Ulrich Thomsen,45717,1305.0,51.0
Pride & Prejudice,2005,129,Drama,7.8,Joe Wright,Keira Knightley,258924,38405088.0,82.0
The World's Fastest Indian,2005,127,Biography,7.8,Roger Donaldson,Anthony Hopkins,51980,5128124.0,68.0
Tôkyô goddofâzâzu,2003,90,Animation,7.8,Satoshi Kon,Shôgo Furuya,31658,128985.0,73.0
Serenity,2005,119,Action,7.8,Joss Whedon,Nathan Fillion,283310,25514517.0,74.0
Walk the Line,2005,136,Biography,7.8,James Mangold,Joaquin Phoenix,234207,119519402.0,72.0
Ondskan,2003,113,Drama,7.8,Mikael Håfström,Andreas Wilson,35682,15280.0,61.0
The Notebook,2004,123,Drama,7.8,Nick Cassavetes,Gena Rowlands,520284,81001787.0,53.0
Diarios de motocicleta,2004,126,Adventure,7.8,Walter Salles,Gael García Bernal,96703,16756372.0,75.0
Lilja 4-ever,2002,109,Crime,7.8,Lukas Moodysson,Oksana Akinshina,42673,181655.0,82.0
Les triplettes de Belleville,2003,80,Animation,7.8,Sylvain Chomet,Michèle Caucheteux,50622,7002255.0,91.0
Gongdong gyeongbi guyeok JSA,2000,110,Action,7.8,Chan-wook Park,Lee Yeong-ae,26518,147161249.0,58.0
The Count of Monte Cristo,2002,131,Action,7.8,Kevin Reynolds,Jim Caviezel,129022,54234062.0,61.0
Waking Life,2001,99,Animation,7.8,Richard Linklater,Ethan Hawke,60684,2892011.0,83.0
Remember the Titans,2000,113,Biography,7.8,Boaz Yakin,Denzel Washington,198089,115654751.0,48.0
Wo hu cang long,2000,120,Action,7.8,Ang Lee,Yun-Fat Chow,253228,128078872.0,94.0
Todo sobre mi madre,1999,101,Drama,7.8,Pedro Almodóvar,Cecilia Roth,89058,8264530.0,87.0
Cast Away,2000,143,Adventure,7.8,Robert Zemeckis,Tom Hanks,524235,233632142.0,73.0
The Boondock Saints,1999,108,Action,7.8,Troy Duffy,Willem Dafoe,227143,25812.0,44.0
The Insider,1999,157,Biography,7.8,Michael Mann,Russell Crowe,159886,28965197.0,84.0
October Sky,1999,108,Biography,7.8,Joe Johnston,Jake Gyllenhaal,82855,32481825.0,71.0
Shrek,2001,90,Animation,7.8,Andrew Adamson,Vicky Jenson,613941,267665011.0,84.0
Titanic,1997,194,Drama,7.8,James Cameron,Leonardo DiCaprio,1046089,659325379.0,75.0
Hana-bi,1997,103,Crime,7.8,Takeshi Kitano,Takeshi Kitano,27712,233986.0,
Gattaca,1997,106,Drama,7.8,Andrew Niccol,Ethan Hawke,280845,12339633.0,64.0
The Game,1997,129,Action,7.8,David Fincher,Michael Douglas,345096,48323648.0,61.0
Breaking the Waves,1996,159,Drama,7.8,Lars von Trier,Emily Watson,62428,4040691.0,76.0
Ed Wood,1994,127,Biography,7.8,Tim Burton,Johnny Depp,164937,5887457.0,70.0
What's Eating Gilbert Grape,1993,118,Drama,7.8,Lasse Hallström,Johnny Depp,215034,9170214.0,73.0
Tombstone,1993,130,Action,7.8,George P. Cosmatos,Kevin Jarre,126871,56505065.0,50.0
The Sandlot,1993,101,Comedy,7.8,David Mickey Evans,Tom Guiry,78963,32416586.0,55.0
The Remains of the Day,1993,134,Drama,7.8,James Ivory,Anthony Hopkins,66065,22954968.0,84.0
Naked,1993,132,Comedy,7.8,Mike Leigh,David Thewlis,34635,1769305.0,84.0
The Fugitive,1993,130,Action,7.8,Andrew Davis,Harrison Ford,267684,183875760.0,87.0
A Bronx Tale,1993,121,Crime,7.8,Robert De Niro,Robert De Niro,128171,17266971.0,80.0
Batman: Mask of the Phantasm,1993,76,Animation,7.8,Kevin Altieri,Boyd Kirkland,43690,5617391.0,
Lat sau san taam,1992,128,Action,7.8,John Woo,Yun-Fat Chow,46700,565451439.0,
Night on Earth,1991,129,Comedy,7.8,Jim Jarmusch,Winona Ryder,55362,2015810.0,68.0
La double vie de Véronique,1991,98,Drama,7.8,Krzysztof Kieslowski,Irène Jacob,42376,1999955.0,86.0
Boyz n the Hood,1991,112,Crime,7.8,John Singleton,Cuba Gooding Jr.,126082,57504069.0,76.0
Misery,1990,107,Drama,7.8,Rob Reiner,James Caan,184740,61276872.0,75.0
Awakenings,1990,121,Biography,7.8,Penny Marshall,Robert De Niro,125276,52096475.0,74.0
Majo no takkyûbin,1989,103,Animation,7.8,Hayao Miyazaki,Kirsten Dunst,124193,58564351.0,83.0
Glory,1989,122,Biography,7.8,Edward Zwick,Matthew Broderick,122779,26830000.0,78.0
Dip huet seung hung,1989,111,Action,7.8,John Woo,Yun-Fat Chow,45624,549325150.0,82.0
Back to the Future Part II,1989,108,Adventure,7.8,Robert Zemeckis,Michael J. Fox,481918,118500000.0,57.0
Mississippi Burning,1988,128,Crime,7.8,Alan Parker,Gene Hackman,88214,34603943.0,65.0
Predator,1987,107,Action,7.8,John McTiernan,Arnold Schwarzenegger,371387,59735548.0,45.0
Evil Dead II,1987,84,Action,7.8,Sam Raimi,Bruce Campbell,148359,5923044.0,72.0
Ferris Bueller's Day Off,1986,103,Comedy,7.8,John Hughes,Matthew Broderick,321382,70136369.0,61.0
Down by Law,1986,107,Comedy,7.8,Jim Jarmusch,Tom Waits,47834,1436000.0,75.0
The Goonies,1985,114,Adventure,7.8,Richard Donner,Sean Astin,244430,61503218.0,62.0
The Color Purple,1985,154,Drama,7.8,Steven Spielberg,Danny Glover,78321,98467863.0,78.0
The Breakfast Club,1985,97,Comedy,7.8,John Hughes,Emilio Estevez,357026,45875171.0,66.0
The Killing Fields,1984,141,Biography,7.8,Roland Joffé,Sam Waterston,51585,34700291.0,76.0
Ghostbusters,1984,105,Action,7.8,Ivan Reitman,Bill Murray,355413,238632124.0,71.0
The Right Stuff,1983,193,Adventure,7.8,Philip Kaufman,Sam Shepard,56235,21500000.0,91.0
The King of Comedy,1982,109,Comedy,7.8,Martin Scorsese,Robert De Niro,88511,2500000.0,73.0
E.T. the Extra-Terrestrial,1982,115,Family,7.8,Steven Spielberg,Henry Thomas,372490,435110554.0,91.0
Kramer vs. Kramer,1979,105,Drama,7.8,Robert Benton,Dustin Hoffman,133351,106260000.0,77.0
Days of Heaven,1978,94,Drama,7.8,Terrence Malick,Richard Gere,52852,116446147.0,93.0
The Outlaw Josey Wales,1976,135,Western,7.8,Clint Eastwood,Clint Eastwood,65659,31800000.0,69.0
The Man Who Would Be King,1975,129,Adventure,7.8,John Huston,Sean Connery,44917,335861628.0,91.0
The Conversation,1974,113,Drama,7.8,Francis Ford Coppola,Gene Hackman,98611,4420000.0,85.0
La planète sauvage,1973,72,Animation,7.8,René Laloux,Barry Bostwick,25229,193817.0,73.0
The Day of the Jackal,1973,143,Crime,7.8,Fred Zinnemann,Edward Fox,37445,16056255.0,80.0
Badlands,1973,94,Action,7.8,Terrence Malick,Martin Sheen,66009,88117434.0,93.0
Cabaret,1972,124,Drama,7.8,Bob Fosse,Liza Minnelli,48334,42765000.0,80.0
Willy Wonka & the Chocolate Factory,1971,100,Family,7.8,Mel Stuart,Gene Wilder,178731,4000000.0,67.0
Midnight Cowboy,1969,113,Drama,7.8,John Schlesinger,Dustin Hoffman,101124,44785053.0,79.0
Wait Until Dark,1967,108,Thriller,7.8,Terence Young,Audrey Hepburn,27733,17550741.0,81.0
Guess Who's Coming to Dinner,1967,108,Comedy,7.8,Stanley Kramer,Spencer Tracy,39642,56700000.0,63.0
Bonnie and Clyde,1967,111,Action,7.8,Arthur Penn,Warren Beatty,102415,909838190.0,86.0
My Fair Lady,1964,170,Drama,7.8,George Cukor,Audrey Hepburn,86525,72000000.0,95.0
Mary Poppins,1964,139,Comedy,7.8,Robert Stevenson,Julie Andrews,158029,102272727.0,88.0
The Longest Day,1962,178,Action,7.8,Ken Annakin,Andrew Marton,52141,39100000.0,75.0
Jules et Jim,1962,105,Drama,7.8,François Truffaut,Jeanne Moreau,37605,819571597.0,97.0
The Innocents,1961,100,Horror,7.8,Jack Clayton,Deborah Kerr,27007,2616000.0,88.0
À bout de souffle,1960,90,Crime,7.8,Jean-Luc Godard,Jean-Paul Belmondo,73251,336705.0,
Red River,1948,133,Action,7.8,Howard Hawks,Arthur Rosson,28167,116161549.0,
Key Largo,1948,100,Action,7.8,John Huston,Humphrey Bogart,36995,55936517.0,
To Have and Have Not,1944,100,Adventure,7.8,Howard Hawks,Humphrey Bogart,31053,477606207.0,
Shadow of a Doubt,1943,108,Film-Noir,7.8,Alfred Hitchcock,Teresa Wright,59556,123353292.0,94.0
Stagecoach,1939,96,Adventure,7.8,John Ford,John Wayne,43621,404971331.0,93.0
The Lady Vanishes,1938,96,Mystery,7.8,Alfred Hitchcock,Margaret Lockwood,47400,474203697.0,98.0
Bringing Up Baby,1938,102,Comedy,7.8,Howard Hawks,Katharine Hepburn,55163,152238346.0,91.0
Bride of Frankenstein,1935,75,Drama,7.8,James Whale,Boris Karloff,43542,4360000.0,95.0
Duck Soup,1933,69,Comedy,7.8,Leo McCarey,Groucho Marx,55581,350197185.0,93.0
Scarface: The Shame of the Nation,1932,93,Action,7.8,Howard Hawks,Richard Rosson,25312,82900837.0,87.0
Frankenstein,1931,70,Drama,7.8,James Whale,Colin Clive,65341,63617892.0,91.0
Roma,2018,135,Drama,7.7,Alfonso Cuarón,Yalitza Aparicio,140375,557873261.0,96.0
God's Own Country,2017,104,Drama,7.7,Francis Lee,Josh O'Connor,25198,335609.0,85.0
Deadpool 2,2018,119,Action,7.7,David Leitch,Ryan Reynolds,478586,324591735.0,66.0
Wind River,2017,107,Crime,7.7,Taylor Sheridan,Kelsey Asbille,205444,33800859.0,73.0
Get Out,2017,104,Horror,7.7,Jordan Peele,Daniel Kaluuya,492851,176040665.0,85.0
Mission: Impossible - Fallout,2018,147,Action,7.7,Christopher McQuarrie,Tom Cruise,291257,220159104.0,86.0
En man som heter Ove,2015,116,Comedy,7.7,Hannes Holm,Rolf Lassgård,47444,3358518.0,70.0
What We Do in the Shadows,2014,86,Comedy,7.7,Jemaine Clement,Taika Waititi,157498,3333000.0,76.0
Omoide no Mânî,2014,103,Animation,7.7,James Simone,Hiromasa Yonebayashi,32798,765127.0,72.0
The Theory of Everything,2014,123,Biography,7.7,James Marsh,Eddie Redmayne,404182,35893537.0,72.0
Kingsman: The Secret Service,2014,129,Action,7.7,Matthew Vaughn,Colin Firth,590440,128261724.0,60.0
The Fault in Our Stars,2014,126,Drama,7.7,Josh Boone,Shailene Woodley,344312,124872350.0,69.0
Me and Earl and the Dying Girl,2015,105,Comedy,7.7,Alfonso Gomez-Rejon,Thomas Mann,123210,6743776.0,74.0
Birdman or (The Unexpected Virtue of Ignorance),2014,119,Comedy,7.7,Alejandro G. Iñárritu,Michael Keaton,580291,42340598.0,87.0
La vie d'Adèle,2013,180,Drama,7.7,Abdellatif Kechiche,Léa Seydoux,138741,2199675.0,89.0
Kai po che!,2013,130,Drama,7.7,Abhishek Kapoor,Amit Sadh,32628,1122527.0,40.0
The Broken Circle Breakdown,2012,111,Drama,7.7,Felix van Groeningen,Veerle Baetens,39379,175058.0,70.0
Captain America: The Winter Soldier,2014,136,Action,7.7,Anthony Russo,Joe Russo,736182,259766572.0,70.0
Rockstar,2011,159,Drama,7.7,Imtiaz Ali,Ranbir Kapoor,39501,985912.0,
Nebraska,2013,115,Adventure,7.7,Alexander Payne,Bruce Dern,112298,17654912.0,87.0
Wreck-It Ralph,2012,101,Animation,7.7,Rich Moore,John C. Reilly,380195,189422889.0,72.0
Le Petit Prince,2015,108,Animation,7.7,Mark Osborne,Jeff Bridges,56720,1339152.0,70.0
Detachment,2011,98,Drama,7.7,Tony Kaye,Adrien Brody,77071,71177.0,52.0
Midnight in Paris,2011,96,Comedy,7.7,Woody Allen,Owen Wilson,388089,56816662.0,81.0
The Lego Movie,2014,100,Animation,7.7,Christopher Miller,Phil Lord,323982,257760692.0,83.0
Gravity,2013,91,Drama,7.7,Alfonso Cuarón,Sandra Bullock,769145,274092705.0,96.0
Star Trek Into Darkness,2013,132,Action,7.7,J.J. Abrams,Chris Pine,463188,228778661.0,72.0
Beasts of No Nation,2015,137,Drama,7.7,Cary Joji Fukunaga,Abraham Attah,73964,83861.0,79.0
The Social Network,2010,120,Biography,7.7,David Fincher,Jesse Eisenberg,624982,96962694.0,95.0
X: First Class,2011,131,Action,7.7,Matthew Vaughn,James McAvoy,645512,146408305.0,65.0
The Hangover,2009,100,Comedy,7.7,Todd Phillips,Zach Galifianakis,717559,277322503.0,73.0
Skyfall,2012,143,Action,7.7,Sam Mendes,Daniel Craig,630614,304360277.0,81.0
Silver Linings Playbook,2012,122,Comedy,7.7,David O. Russell,Bradley Cooper,661871,132092958.0,81.0
Argo,2012,120,Biography,7.7,Ben Affleck,Ben Affleck,572581,136025503.0,86.0
(500) Days of Summer,2009,95,Comedy,7.7,Marc Webb,Zooey Deschanel,472242,32391374.0,76.0
Harry Potter and the Deathly Hallows: Part 1,2010,146,Adventure,7.7,David Yates,Daniel Radcliffe,479120,295983305.0,65.0
Gake no ue no Ponyo,2008,101,Animation,7.7,Hayao Miyazaki,Cate Blanchett,125317,15090400.0,86.0
Frost/Nixon,2008,122,Biography,7.7,Ron Howard,Frank Langella,103330,18593156.0,80.0
Papurika,2006,90,Animation,7.7,Satoshi Kon,Megumi Hayashibara,71379,881302.0,81.0
Changeling,2008,141,Biography,7.7,Clint Eastwood,Angelina Jolie,239203,35739802.0,63.0
Flipped,2010,90,Comedy,7.7,Rob Reiner,Madeline Carroll,81446,1752214.0,45.0
Toki o kakeru shôjo,2006,98,Animation,7.7,Mamoru Hosoda,Riisa Naka,60368,329525432.0,
Death Note: Desu nôto,2006,126,Crime,7.7,Shûsuke Kaneko,Tatsuya Fujiwara,28630,207139906.0,
This Is England,2006,101,Crime,7.7,Shane Meadows,Thomas Turgoose,115576,327919.0,86.0
Ex Machina,2014,108,Drama,7.7,Alex Garland,Alicia Vikander,474141,25442958.0,78.0
Efter brylluppet,2006,120,Drama,7.7,Susanne Bier,Mads Mikkelsen,32001,412544.0,78.0
The Last King of Scotland,2006,123,Biography,7.7,Kevin Macdonald,James McAvoy,175355,17605861.0,74.0
Zodiac,2007,157,Crime,7.7,David Fincher,Jake Gyllenhaal,466080,33080084.0,78.0
Lucky Number Slevin,2006,110,Action,7.7,Paul McGuigan,Josh Hartnett,299524,22494487.0,53.0
Joyeux Noël,2005,116,Drama,7.7,Christian Carion,Diane Kruger,28003,1054361.0,70.0
Control,2007,122,Biography,7.7,Anton Corbijn,Sam Riley,61609,871577.0,78.0
Tangled,2010,100,Animation,7.7,Nathan Greno,Byron Howard,405922,200821936.0,71.0
Zwartboek,2006,145,Drama,7.7,Paul Verhoeven,Carice van Houten,72643,4398392.0,71.0
Brokeback Mountain,2005,134,Drama,7.7,Ang Lee,Jake Gyllenhaal,323103,83043761.0,87.0
3:10 to Yuma,2007,122,Action,7.7,James Mangold,Russell Crowe,288797,53606916.0,76.0
Crash,2004,112,Crime,7.7,Paul Haggis,Don Cheadle,419483,54580300.0,66.0
Kung fu,2004,99,Action,7.7,Stephen Chow,Stephen Chow,127250,17108591.0,78.0
The Bourne Supremacy,2004,108,Action,7.7,Paul Greengrass,Matt Damon,434841,176241941.0,73.0
The Machinist,2004,101,Drama,7.7,Brad Anderson,Christian Bale,358432,1082715.0,61.0
Ray,2004,152,Biography,7.7,Taylor Hackford,Jamie Foxx,138356,75331600.0,73.0
Lost in Translation,2003,102,Comedy,7.7,Sofia Coppola,Bill Murray,415074,44585453.0,89.0
Harry Potter and the Goblet of Fire,2005,157,Adventure,7.7,Mike Newell,Daniel Radcliffe,548619,290013036.0,81.0
Man on Fire,2004,146,Action,7.7,Tony Scott,Denzel Washington,329592,77911774.0,47.0
Coraline,2009,100,Animation,7.7,Henry Selick,Dakota Fanning,197761,75286229.0,80.0
The Last Samurai,2003,154,Action,7.7,Edward Zwick,Tom Cruise,400049,111110575.0,55.0
The Magdalene Sisters,2002,114,Drama,7.7,Peter Mullan,Eileen Walsh,25938,4890878.0,83.0
Good Bye Lenin!,2003,121,Comedy,7.7,Wolfgang Becker,Daniel Brühl,137981,4064200.0,68.0
In America,2002,105,Drama,7.7,Jim Sheridan,Paddy Considine,40403,15539266.0,76.0
I Am Sam,2001,132,Drama,7.7,Jessie Nelson,Sean Penn,142863,40311852.0,28.0
Adaptation.,2002,115,Comedy,7.7,Spike Jonze,Nicolas Cage,178565,22245861.0,83.0
Black Hawk Down,2001,144,Drama,7.7,Ridley Scott,Josh Hartnett,364254,108638745.0,74.0
Road to Perdition,2002,117,Crime,7.7,Sam Mendes,Tom Hanks,246840,104454762.0,72.0
Das Experiment,2001,120,Drama,7.7,Oliver Hirschbiegel,Moritz Bleibtreu,90842,141072.0,60.0
Billy Elliot,2000,110,Drama,7.7,Stephen Daldry,Jamie Bell,126770,21995263.0,74.0
Hedwig and the Angry Inch,2001,95,Comedy,7.7,John Cameron Mitchell,John Cameron Mitchell,31957,3029081.0,85.0
Ocean's Eleven,2001,116,Crime,7.7,Steven Soderbergh,George Clooney,516372,183417150.0,74.0
Vampire Hunter D: Bloodlust,2000,103,Animation,7.7,Yoshiaki Kawajiri,Andrew Philpot,29210,151086.0,62.0
"O Brother, Where Art Thou?",2000,107,Adventure,7.7,Joel Coen,Ethan Coen,286742,45512588.0,69.0
